"자치구별(1)",자치구별(2),2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"자치구별(1)",자치구별(2),소계,소계,살인,살인,강도,강도,강간·강제추행,강간·강제추행,절도,절도,폭력,폭력,소계,소계,살인,살인,강도,강도,강간·강제추행,강간·강제추행,절도,절도,폭력,폭력,소계,소계,살인,살인,강도,강도,강간·강제추행,강간·강제추행,절도,절도,폭력,폭력,소계,소계,살인,살인,강도,강도,강간·강제추행,강간·강제추행,절도,절도,폭력,폭력,소계,소계,살인,살인,강도,강도,강간·강제추행,강간·강제추행,절도,절도,폭력,폭력,소계,소계,살인,살인,강도,강도,강간·강제추행,강간·강제추행,절도,절도,폭력,폭력,소계,소계,살인,살인,강도,강도,강간·강제추행,강간·강제추행,절도,절도,폭력,폭력,소계,소계,살인,살인,강도,강도,강간·강제추행,강간·강제추행,절도,절도,폭력,폭력
"자치구별(1)",자치구별(2),발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거
"합계",소계,126401,82680,163,156,276,257,5449,5069,55307,21842,65206,55356,117839,84421,148,147,262,257,6002,5565,46857,22566,64570,55886,107835,79865,142,140,169,170,6963,6558,41162,21421,59399,51576,101948,74487,143,139,143,151,6412,6046,39175,19762,56075,48389,103668,74805,136,128,136,133,6469,6007,42204,21284,54723,47253,92679,66548,141,126,138,132,5763,5458,38293,19705,48344,41127,80445,58012,124,112,122,116,4911,4446,33531,17950,41757,35388,90399,65097,104,98,117,112,5816,5344,37579,20205,46783,39338
"합계",종로구,4705,4430,6,8,11,13,211,1139,2184,1145,2293,2125,4459,4298,6,5,12,14,238,1106,1940,1020,2263,2153,4057,4437,7,9,10,15,253,1412,1644,905,2143,2096,3690,3913,6,7,3,7,236,1100,1483,969,1962,1830,3846,4117,4,5,7,8,238,1143,1515,1069,2082,1892,3102,3343,9,7,7,9,192,855,1183,944,1711,1528,2712,2755,6,3,4,4,156,757,1079,743,1467,1248,3138,3284,2,3,8,8,228,988,1313,932,1587,1353
"합계",중구,4954,2942,3,2,9,6,170,111,2548,859,2224,1964,4584,3068,3,3,8,7,198,148,2150,914,2225,1996,4184,2851,1,-,9,9,267,149,1846,889,2061,1804,4030,2679,2,2,11,11,207,115,1855,832,1955,1719,4327,2804,2,1,6,5,195,115,2202,1050,1922,1633,3411,2323,2,2,5,6,186,128,1642,863,1576,1324,2861,2072,6,6,6,6,161,97,1279,739,1409,1224,3071,2119,1,2,5,4,194,123,1365,724,1506,1266
"합계",용산구,3820,2483,5,5,14,14,194,173,1557,587,2050,1704,4137,2835,4,4,9,10,251,214,1489,599,2384,2008,4060,2936,1,1,5,4,327,289,1346,626,2381,2016,3411,2543,1,1,3,2,331,285,1096,522,1980,1733,3313,2611,3,3,3,4,272,237,999,544,2036,1823,2969,2056,5,3,6,6,230,186,1111,534,1617,1327,2381,1659,3,2,1,1,141,103,945,484,1291,1069,2967,2093,5,3,7,7,280,238,978,508,1697,1337
"합계",성동구,3358,2123,4,4,9,8,126,119,1607,597,1612,1395,3026,2392,4,5,3,5,104,78,1296,896,1619,1408,2767,2031,1,1,3,3,132,106,1072,543,1559,1378,2457,1787,2,2,5,8,126,102,999,487,1325,1188,2512,1838,6,5,9,10,133,96,970,511,1394,1216,2362,1774,5,5,3,3,115,98,1016,565,1223,1103,2112,1510,3,4,4,1,110,82,905,497,1090,926,2194,1597,2,2,2,2,125,97,979,538,1086,958
"합계",광진구,5909,3707,4,4,14,26,240,220,3026,1277,2625,2180,5322,3312,4,4,11,6,279,234,2636,1057,2392,2011,4646,3289,6,5,13,8,261,208,2220,1168,2146,1900,3915,2789,7,5,2,1,229,184,1769,974,1908,1625,4011,2816,4,5,6,5,273,213,1875,1008,1853,1585,3601,2511,2,2,4,4,255,224,1664,874,1676,1407,3087,2202,5,3,4,4,208,161,1414,754,1456,1280,3619,2498,6,5,-,-,230,174,1670,831,1713,1488
"합계",동대문구,4720,3205,5,5,13,13,173,146,1981,814,2548,2227,4787,3623,5,5,10,12,190,158,1940,1071,2642,2377,3975,3274,11,10,3,5,165,149,1547,1017,2249,2093,3680,2968,2,2,5,4,145,112,1447,930,2081,1920,3692,2818,6,6,10,9,168,143,1531,827,1977,1833,3401,2465,10,8,6,5,161,142,1440,713,1784,1597,2959,2113,3,4,7,8,169,147,1240,659,1540,1295,3253,2231,4,4,2,2,125,106,1556,823,1566,1296
