"행정구역(시군구)별",2015,2016,2017,2018,2019,2020,2021,2022
"행정구역(시군구)별",총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명)
"종로구",154986,152737,154770,153065,151290,149384,144683,141379
"중구",125733,125249,125709,125725,126171,125240,122499,120437
"용산구",233342,230241,229161,228999,228670,230040,222953,218650
"성동구",297003,299259,304808,308221,300889,293556,285990,281000
"광진구",360369,357215,357703,355559,351350,346682,339996,337416
"동대문구",360153,355069,350647,348052,346194,342837,337400,336644
"중랑구",413909,411005,408226,403209,397015,394702,387350,385318
"성북구",459275,450355,444055,435868,442650,437153,430528,430397
"강북구",330873,327195,324479,319164,313954,308055,299182,293660
"도봉구",351242,348220,344166,339413,333362,325257,317366,311694
"노원구",574583,567581,554403,543752,532905,523037,510956,503734
"은평구",497920,491476,486794,483197,480032,479835,473307,466746
"서대문구",312141,314194,312800,310313,309397,312173,304819,306337
"마포구",387643,379892,374915,375077,374035,371890,368905,364638
"양천구",484532,477739,471154,464185,458165,454251,447302,440881
"강서구",589074,595485,601691,596949,591796,580185,574315,569166
"구로구",422092,417551,410742,404497,406664,404408,396754,395315
"금천구",236284,235386,235154,233917,232810,231733,230811,229642
"영등포구",378504,370613,368550,367778,367678,379480,376837,375675
"동작구",400641,400997,396217,396203,395963,391220,385483,380596
"관악구",509663,506851,503297,501957,500094,495060,485699,486752
"서초구",446764,447192,441102,433951,430826,425126,412279,404325
"강남구",576495,567115,556164,542364,545169,539231,533042,529102
"송파구",660302,657831,664496,666635,675961,667960,658338,658801
"강동구",458658,444168,436223,427573,436067,459970,462664,460067
