해당연월,일본,중국,홍콩,대만,싱가폴,말레이시아,인도네시아,베트남,아시아 기타,미국,서구 기타,데이터기준일자
2014-01,5022,83987,692,1740,967,1663,1392,172,1962,281,1573,2014-12-31
2014-02,5231,110010,1758,1692,1617,2716,1639,2640,5434,856,2749,2014-12-31
2014-03,7985,140849,2402,1837,2776,3881,1722,1896,4207,1162,2642,2014-12-31
2014-04,12671,245106,3653,2530,4165,7950,4362,5088,10730,2661,5329,2014-12-31
2014-05,14355,240811,2943,3225,2616,3890,5270,4057,8569,1720,4357,2014-12-31
2014-06,8774,288996,2764,3550,3524,4497,2708,2290,2183,1822,4046,2014-12-31
2014-07,6373,388694,2111,3570,1759,2626,3811,3492,1679,1694,4352,2014-12-31
2014-08,7577,450359,2722,3849,1038,995,1545,2141,1919,1564,4564,2014-12-31
2014-09,8705,306732,2543,2872,2254,2808,1307,1690,1795,1798,6213,2014-12-31
2014-10,8816,282994,3167,3385,5989,8744,2632,3541,9065,4855,8328,2014-12-31
2014-11,7754,178025,2318,2455,5634,9091,2634,2957,7575,818,4215,2014-12-31
2014-12,3256,142529,1332,1484,13968,15092,7828,1950,7349,581,2440,2014-12-31
