해당연월,일본,중국,홍콩,대만,싱가폴,말레이시아,인도네시아,베트남,태국,아시아 기타,미국,서구 기타,데이터기준일자
2019-01,5145,61889,2544,5383,1825,4200,2331,2732,5162,4073,2974,8455,2019-12-31
2019-02,4229,69351,2906,5449,1764,4573,1327,2469,4195,3572,3051,9041,2019-12-31
2019-03,6109,73532,3879,6877,2040,5854,2375,2366,4825,5552,2771,10431,2019-12-31
2019-04,6751,72420,5509,10263,2156,6935,2143,3135,5528,4965,5769,13786,2019-12-31
2019-05,9658,84333,5557,9695,2576,6037,1838,2169,5685,4288,4337,11634,2019-12-31
2019-06,10574,94834,5632,6573,4801,7089,2641,3098,1214,4446,2498,8797,2019-12-31
2019-07,8475,102692,5357,8919,1665,4073,1410,1849,2687,4086,2851,8565,2019-12-31
2019-08,12213,120043,5696,8250,1382,3530,1753,1827,4850,5869,2996,9914,2019-12-31
2019-09,8024,100439,4566,6500,2177,5086,1049,1542,4889,3597,2781,8388,2019-12-31
2019-10,7425,108798,4907,8195,2140,6366,1473,3238,5903,4431,3866,11151,2019-12-31
2019-11,4403,96425,4019,5434,1909,6645,1715,2295,5690,4007,3332,9909,2019-12-31
2019-12,4969,94377,5696,6443,1910,7489,2237,2158,6705,4579,2601,8687,2019-12-31
