"날짜","종가","시가","고가","저가","거래량","변동 %"
"2019- 12- 01","128.42","129.17","130.06","127.97","4.95M","-0.68%"
"2019- 11- 01","129.30","130.27","130.48","127.98","32.68M","-0.77%"
"2019- 10- 01","130.30","130.38","132.03","129.05","32.14M","-0.01%"
"2019- 09- 01","130.31","131.25","131.72","128.06","10.54M","-0.56%"
"2019- 08- 01","131.05","127.50","131.61","127.14","45.52M","2.85%"
"2019- 07- 01","127.42","127.61","128.44","126.72","29.85M","-0.43%"
"2019- 06- 01","127.97","126.31","128.27","126.20","11.02M","1.26%"
"2019- 05- 01","126.38","123.69","126.50","122.94","41.71M","2.19%"
"2019- 04- 01","123.67","124.16","124.17","122.64","27.18M","-0.44%"
"2019- 03- 01","124.22","121.72","124.97","121.31","14.53M","2.03%"
"2019- 02- 01","121.75","122.45","122.53","121.59","29.30M","-0.59%"
"2019- 01- 01","122.47","121.81","123.25","121.06","31.56M","0.37%"
"2018- 12- 01","122.02","119.38","122.12","119.27","9.03M","2.07%"
"2018- 11- 01","119.55","118.52","119.77","117.70","38.68M","0.94%"
"2018- 10- 01","118.44","118.72","119.19","117.42","47.98M","-0.29%"
"2018- 09- 01","118.78","120.33","120.42","118.34","10.22M","-1.34%"
"2018- 08- 01","120.39","119.41","120.75","119.08","34.27M","0.81%"
"2018- 07- 01","119.42","120.12","120.62","119.25","25.48M","-0.64%"
"2018- 06- 01","120.19","120.55","120.55","119.25","10.17M","-0.45%"
"2018- 05- 01","120.73","119.55","121.39","118.33","39.40M","0.93%"
"2018- 04- 01","119.62","121.03","121.38","118.97","27.39M","-1.25%"
"2018- 03- 01","121.14","120.69","121.30","119.69","12.90M","0.40%"
"2018- 02- 01","120.66","121.67","122.59","120.03","41.55M","-0.76%"
"2018- 01- 01","121.58","123.98","124.00","121.33","32.83M","-1.99%"
"2017- 12- 01","124.05","124.34","125.09","123.39","5.69M","-0.21%"
"2017- 11- 01","124.31","124.88","125.47","124.19","30.64M","-0.50%"
"2017- 10- 01","124.94","125.23","125.80","124.19","28.78M","-0.30%"
"2017- 09- 01","125.31","127.27","128.11","125.06","10.76M","-1.52%"
"2017- 08- 01","127.25","125.84","127.59","125.67","29.97M","1.08%"
"2017- 07- 01","125.89","125.52","126.38","124.80","24.43M","0.29%"
"2017- 06- 01","125.53","126.47","127.55","125.45","10.01M","-0.81%"
"2017- 05- 01","126.56","125.72","126.72","124.72","31.41M","0.67%"
"2017- 04- 01","125.72","124.59","126.62","124.50","25.53M","0.93%"
"2017- 03- 01","124.56","124.80","125.28","123.31","9.20M","-0.44%"
"2017- 02- 01","125.11","124.45","125.67","123.77","29.50M","0.51%"
"2017- 01- 01","124.47","124.12","125.42","123.56","28.49M","0.15%"
"2016- 12- 01","124.28","125.09","125.77","123.02","4.14M","-0.76%"
"2016- 11- 01","125.23","129.67","131.00","124.80","37.16M","-3.39%"
"2016- 10- 01","129.62","131.22","131.23","129.20","22.85M","-1.14%"
"2016- 09- 01","131.12","131.73","132.48","130.66","8.22M","-0.58%"
"2016- 08- 01","131.88","133.12","133.12","131.30","27.25M","-0.88%"
"2016- 07- 01","133.05","133.03","134.23","131.61","23.17M","0.05%"
"2016- 06- 01","132.98","129.66","134.22","129.59","11.22M","2.45%"
"2016- 05- 01","129.80","129.92","131.20","129.30","25.77M","-0.20%"
"2016- 04- 01","130.06","130.48","131.30","129.06","22.25M","-0.25%"
"2016- 03- 01","130.39","130.95","131.22","128.52","6.92M","-0.40%"
"2016- 02- 01","130.91","129.59","133.05","129.16","33.61M","1.03%"
"2016- 01- 01","129.58","125.88","129.69","125.77","27.24M","2.91%"
"2015- 12- 01","125.91","127.08","127.88","125.44","3.76M","-0.87%"
"2015- 11- 01","127.02","127.77","127.83","125.70","22.63M","-0.52%"
"2015- 10- 01","127.69","128.88","130.02","127.45","23.46M","-0.81%"
"2015- 09- 01","128.73","127.52","128.92","127.12","8.55M","0.85%"
"2015- 08- 01","127.64","127.58","129.89","126.55","27.37M","0.16%"
"2015- 07- 01","127.44","125.97","127.62","125.16","23.54M","1.01%"
"2015- 06- 01","126.17","128.14","128.30","124.91","9.85M","-1.67%"
"2015- 05- 01","128.31","128.45","128.45","126.20","30.62M","-0.05%"
"2015- 04- 01","128.38","128.91","130.12","127.81","22.27M","-0.41%"
"2015- 03- 01","128.91","128.41","129.56","126.62","7.52M","0.38%"
"2015- 02- 01","128.42","131.05","131.11","127.06","26.82M","-1.88%"
"2015- 01- 01","130.88","126.61","131.17","126.41","27.44M","3.22%"
"2014- 12- 01","126.80","127.84","128.78","125.66","3.32M","-0.67%"
"2014- 11- 01","127.66","126.42","127.78","125.84","22.38M","1.03%"
"2014- 10- 01","126.36","124.80","130.53","124.69","39.08M","1.38%"
"2014- 09- 01","124.64","126.28","126.31","123.94","9.35M","-1.34%"
"2014- 08- 01","126.33","124.64","127.03","124.41","27.60M","1.38%"
"2014- 07- 01","124.61","125.08","125.73","123.81","23.31M","-0.45%"
"2014- 06- 01","125.17","126.14","126.20","124.08","7.02M","-0.92%"
"2014- 05- 01","126.33","124.42","126.77","123.78","27.71M","1.54%"
"2014- 04- 01","124.42","123.53","125.08","122.70","24.98M","0.74%"
"2014- 03- 01","123.50","126.73","126.75","123.08","8.63M","-2.07%"
"2014- 02- 01","126.11","125.78","126.50","125.09","23.51M","0.29%"
"2014- 01- 01","125.75","122.80","125.91","122.78","23.18M","2.19%"
"2013- 12- 01","123.05","126.50","126.59","122.77","3.35M","-2.83%"
"2013- 11- 01","126.64","127.23","127.70","125.72","22.27M","-0.57%"
"2013- 10- 01","127.36","126.42","128.06","125.52","21.24M","0.77%"
"2013- 09- 01","126.39","125.00","126.92","123.33","6.87M","0.84%"
"2013- 08- 01","125.34","126.50","126.98","124.00","26.02M","-0.87%"
"2013- 07- 01","126.44","126.38","127.31","124.36","21.60M","-0.09%"
"2013- 06- 01","126.56","130.28","131.44","125.02","12.70M","-2.83%"
"2013- 05- 01","130.25","133.36","133.78","129.59","35.60M","-2.33%"
"2013- 04- 01","133.36","131.73","133.75","131.73","23.79M","1.05%"
"2013- 03- 01","131.98","132.77","133.14","131.09","8.91M","-0.54%"
"2013- 02- 01","132.70","131.22","132.98","130.72","27.80M","1.08%"
"2013- 01- 01","131.28","131.94","132.55","130.94","24.59M","-1.13%"
