"날짜","종가","시가","고가","저가","거래량","변동 %"
"2013- 01- 01","174.95","171.23","175.90","169.56","","2.48%"
"2013- 02- 01","174.22","174.99","176.43","172.35","","-0.42%"
"2013- 03- 01","178.88","174.29","180.29","173.99","","2.67%"
"2013- 04- 01","178.61","179.17","184.60","178.46","","-0.15%"
"2013- 05- 01","184.27","178.69","185.07","176.26","","3.17%"
"2013- 06- 01","185.97","184.40","189.34","180.45","","0.92%"
"2013- 07- 01","183.26","186.13","187.97","180.77","","-1.46%"
"2013- 08- 01","181.29","183.35","184.03","180.93","","-1.07%"
"2013- 09- 01","175.34","181.39","181.39","174.84","","-3.28%"
"2013- 10- 01","174.06","175.54","175.99","173.29","","-0.73%"
"2013- 11- 01","173.57","174.14","176.37","173.10","","-0.28%"
"2013- 12- 01","174.30","173.67","175.32","172.98","","0.42%"
"2014- 01- 01","178.22","173.68","179.82","173.24","","2.25%"
"2014- 02- 01","173.47","178.29","179.82","172.74","","-2.67%"
"2014- 03- 01","171.22","174.68","175.13","171.01","","-1.30%"
"2014- 04- 01","164.99","170.79","171.18","164.58","","-3.64%"
"2014- 05- 01","163.28","164.73","165.48","163.15","","-1.04%"
"2014- 06- 01","163.04","163.40","164.50","162.71","","-0.15%"
"2014- 07- 01","166.46","163.09","166.96","162.26","","2.10%"
"2014- 08- 01","165.02","167.23","169.10","164.88","","-0.87%"
"2014- 09- 01","171.78","165.08","171.95","164.75","","4.10%"
"2014- 10- 01","175.47","172.29","175.84","170.88","","2.15%"
"2014- 11- 01","181.08","175.70","182.54","175.11","","3.20%"
"2014- 12- 01","176.06","181.22","182.51","174.27","","-2.77%"
"2015- 01- 01","176.21","176.26","178.82","172.21","","0.09%"
"2015- 02- 01","175.53","176.18","178.44","173.46","","-0.39%"
"2015- 03- 01","178.71","175.77","181.98","174.40","","1.81%"
"2015- 04- 01","173.50","178.88","178.96","171.39","","-2.92%"
"2015- 05- 01","179.40","173.68","179.98","173.45","","3.40%"
"2015- 06- 01","180.43","179.62","181.74","176.73","","0.57%"
"2015- 07- 01","187.71","180.52","189.24","179.81","","4.03%"
"2015- 08- 01","185.33","187.96","189.54","182.21","","-1.27%"
"2015- 09- 01","186.27","185.52","189.95","181.91","","0.51%"
"2015- 10- 01","180.46","186.45","186.56","175.96","","-3.12%"
"2015- 11- 01","181.24","180.54","184.46","177.90","","0.43%"
"2015- 12- 01","180.90","181.40","184.67","179.40","","-0.19%"
"2016- 01- 01","183.54","181.09","185.49","180.76","","1.46%"
"2016- 02- 01","188.73","183.71","190.51","179.85","","2.83%"
"2016- 03- 01","177.36","188.93","189.18","175.72","","-6.02%"
"2016- 04- 01","176.67","177.54","179.99","173.91","","-0.39%"
"2016- 05- 01","180.44","176.88","182.52","174.98","","2.13%"
"2016- 06- 01","173.08","180.73","181.85","172.62","","-4.08%"
"2016- 07- 01","167.36","173.34","174.71","167.48","","-3.30%"
"2016- 08- 01","166.93","167.46","169.45","164.24","","-0.26%"
"2016- 09- 01","164.94","167.13","169.96","163.01","","-1.19%"
"2016- 10- 01","168.44","165.15","169.92","164.72","","2.12%"
"2016- 11- 01","170.74","168.65","172.31","166.16","","1.37%"
"2016- 12- 01","173.64","171.02","174.56","168.10","","1.70%"
"2017- 01- 01","167.09","173.77","174.57","166.79","","-3.77%"
"2017- 02- 01","165.44","167.36","168.44","163.73","","-0.99%"
"2017- 03- 01","162.04","165.68","168.10","160.96","","-2.06%"
"2017- 04- 01","164.84","162.18","166.89","161.39","","1.73%"
"2017- 05- 01","164.26","165.04","165.45","161.66","","-0.35%"
"2017- 06- 01","168.73","164.41","169.36","163.89","","2.72%"
"2017- 07- 01","166.20","168.95","170.41","164.50","","-1.50%"
"2017- 08- 01","170.51","166.41","172.54","165.90","","2.59%"
"2017- 09- 01","171.98","170.69","175.26","170.26","","0.86%"
