"날짜","종가","시가","고가","저가","거래량","변동 %"
"2013- 01- 01","11.8737","12.2596","12.2936","11.7041","","-3.09%"
"2013- 02- 01","11.7052","11.8883","11.9633","11.4698","","-1.42%"
"2013- 03- 01","11.7883","11.7144","11.8845","11.2853","","0.71%"
"2013- 04- 01","11.3009","11.7878","12.1214","11.1505","","-4.13%"
"2013- 05- 01","11.2477","11.3049","11.3515","10.7378","","-0.47%"
"2013- 06- 01","11.5124","11.2486","12.0925","11.1233","","2.35%"
"2013- 07- 01","11.4746","11.5051","11.5431","11.0879","","-0.33%"
"2013- 08- 01","11.2999","11.4810","11.6148","11.2475","","-1.52%"
"2013- 09- 01","10.9270","11.2836","11.2956","10.7486","","-3.30%"
"2013- 10- 01","10.7852","10.9406","11.1111","10.7348","","-1.30%"
"2013- 11- 01","10.3216","10.7903","10.8912","10.3203","","-4.30%"
"2013- 12- 01","10.0185","10.3291","10.4278","10.0039","","-2.94%"
"2014- 01- 01","10.5876","10.0268","10.6440","9.9592","","5.68%"
"2014- 02- 01","10.4706","10.5985","10.7735","10.3478","","-1.11%"
"2014- 03- 01","10.3124","10.5102","10.6200","10.2279","","-1.51%"
"2014- 04- 01","10.0973","10.3173","10.3639","10.0212","","-2.09%"
"2014- 05- 01","10.0236","10.1086","10.1880","9.9810","","-0.73%"
"2014- 06- 01","9.9803","10.0246","10.0534","9.9016","","-0.43%"
"2014- 07- 01","9.9976","9.9862","10.2273","9.8656","","0.17%"
"2014- 08- 01","9.7392","10.0005","10.2372","9.7393","","-2.58%"
"2014- 09- 01","9.6157","9.7458","9.7884","9.5110","","-1.27%"
"2014- 10- 01","9.5470","9.6215","10.1173","9.5389","","-0.71%"
"2014- 11- 01","9.3743","9.5435","9.5677","9.3213","","-1.81%"
"2014- 12- 01","9.1296","9.3786","9.4180","9.0958","","-2.61%"
"2015- 01- 01","9.3760","9.1391","9.4318","9.0907","","2.70%"
"2015- 02- 01","9.2041","9.3858","9.4506","9.1566","","-1.83%"
"2015- 03- 01","9.2217","9.2191","9.3961","9.1021","","0.19%"
"2015- 04- 01","9.0153","9.2312","9.2473","8.9401","","-2.24%"
"2015- 05- 01","8.9548","9.0248","9.2040","8.9117","","-0.67%"
"2015- 06- 01","9.1342","8.9696","9.2079","8.8617","","2.00%"
"2015- 07- 01","9.4036","9.1442","9.5120","9.0824","","2.95%"
"2015- 08- 01","9.7478","9.4067","10.3428","9.2723","","3.66%"
"2015- 09- 01","9.8794","9.7572","10.1265","9.6074","","1.35%"
"2015- 10- 01","9.4509","9.8885","9.9749","9.2975","","-4.34%"
"2015- 11- 01","9.4185","9.4543","9.5983","9.2926","","-0.34%"
