"날짜","종가","시가","고가","저가","거래량","변동 %"
"2019- 12- 01","61.06","55.47","62.34","55.35","9.27M","10.68%"
"2019- 11- 01","55.17","54.15","58.74","54.07","9.47M","1.83%"
"2019- 10- 01","54.18","54.28","56.92","50.99","11.55M","0.20%"
"2019- 09- 01","54.07","55.00","63.38","52.84","13.08M","-1.87%"
"2019- 08- 01","55.10","57.85","57.99","50.52","14.04M","-5.94%"
"2019- 07- 01","58.58","59.27","60.94","54.72","11.80M","0.19%"
"2019- 06- 01","58.47","53.42","59.93","50.60","12.46M","9.29%"
"2019- 05- 01","53.50","63.40","63.93","53.05","16.25M","-16.29%"
"2019- 04- 01","63.91","60.24","66.60","60.13","13.33M","6.27%"
"2019- 03- 01","60.14","57.22","60.73","54.52","11.96M","5.10%"
"2019- 02- 01","57.22","54.01","57.81","51.23","10.55M","6.38%"
"2019- 01- 01","53.79","45.80","55.37","44.35","14.02M","18.45%"
"2018- 12- 01","45.41","52.45","54.55","42.36","12.16M","-10.84%"
"2018- 11- 01","50.93","64.88","65.39","49.41","15.12M","-22.02%"
"2018- 10- 01","65.31","73.29","76.90","64.81","13.04M","-10.84%"
"2018- 09- 01","73.25","69.89","73.73","66.86","10.09M","4.94%"
"2018- 08- 01","69.80","68.43","70.50","64.43","10.42M","1.51%"
"2018- 07- 01","68.76","73.62","75.27","67.03","10.91M","-7.27%"
"2018- 06- 01","74.15","67.07","74.46","63.59","12.86M","10.61%"
"2018- 05- 01","67.04","68.56","72.83","65.80","15.04M","-2.23%"
"2018- 04- 01","68.57","64.91","69.56","61.81","12.71M","5.59%"
"2018- 03- 01","64.94","61.55","66.55","59.95","12.38M","5.35%"
"2018- 02- 01","61.64","64.76","66.30","58.07","11.99M","-4.77%"
"2018- 01- 01","64.73","60.20","66.66","60.10","12.77M","7.13%"
"2017- 12- 01","60.42","57.42","60.51","55.82","9.49M","5.26%"
"2017- 11- 01","57.40","54.65","59.05","53.89","12.53M","5.55%"
"2017- 10- 01","54.38","51.64","54.85","49.10","11.95M","5.24%"
"2017- 09- 01","51.67","47.08","52.86","46.56","12.24M","9.40%"
"2017- 08- 01","47.23","50.21","50.43","45.58","17.17M","-5.86%"
"2017- 07- 01","50.17","46.28","50.41","43.65","14.57M","8.97%"
"2017- 06- 01","46.04","48.63","49.17","42.05","15.23M","-4.72%"
"2017- 05- 01","48.32","49.17","52.00","43.76","14.25M","-2.05%"
"2017- 04- 01","49.33","50.69","53.76","48.20","9.72M","-2.51%"
"2017- 03- 01","50.60","53.95","54.44","47.01","12.60M","-6.31%"
"2017- 02- 01","54.01","52.76","54.94","51.22","9.09M","2.27%"
"2017- 01- 01","52.81","54.20","55.24","50.71","10.11M","-1.69%"
"2016- 12- 01","53.72","49.07","54.51","48.98","10.64M","8.66%"
"2016- 11- 01","49.44","46.77","49.90","42.20","13.50M","5.51%"
"2016- 10- 01","46.86","48.04","51.93","46.63","10.82M","-2.86%"
"2016- 09- 01","48.24","44.85","48.32","42.55","12.37M","7.92%"
"2016- 08- 01","44.70","41.35","48.75","39.19","11.59M","7.45%"
"2016- 07- 01","41.60","48.38","49.35","40.57","9.34M","-13.93%"
"2016- 06- 01","48.33","48.82","51.67","45.83","10.42M","-1.57%"
"2016- 05- 01","49.10","45.90","50.21","43.03","11.20M","6.93%"
"2016- 04- 01","45.92","38.14","46.78","35.24","11.62M","19.77%"
"2016- 03- 01","38.34","33.90","41.90","33.37","10.88M","13.60%"
"2016- 02- 01","33.75","33.83","34.69","26.05","11.47M","0.39%"
"2016- 01- 01","33.62","37.60","38.39","26.19","10.39M","-9.23%"
"2015- 12- 01","37.04","41.73","42.23","33.98","8.70M","-11.07%"
"2015- 11- 01","41.65","46.43","48.36","38.99","7.88M","-10.60%"
