,countryiso3code,date,co2e,country_code,country
5580,CHN,2021,,CN,China
5581,CHN,2020,7.75613790659769,CN,China
5582,CHN,2019,7.64543578560038,CN,China
5583,CHN,2018,7.53319313353674,CN,China
5584,CHN,2017,7.22616015441748,CN,China
5585,CHN,2016,7.10547993572515,CN,China
5586,CHN,2015,7.14513153508327,CN,China
5587,CHN,2014,7.30471287157582,CN,China
5588,CHN,2013,7.32015492503154,CN,China
5589,CHN,2012,7.04520023039603,CN,China
5590,CHN,2011,6.90134732553428,CN,China
5591,CHN,2010,6.33541976743751,CN,China
5592,CHN,2009,5.79831993750282,CN,China
5593,CHN,2008,5.43507909606652,CN,China
5594,CHN,2007,5.30636800631315,CN,China
5595,CHN,2006,4.91027619715946,CN,China
5596,CHN,2005,4.46769636118185,CN,China
5597,CHN,2004,3.94515487143877,CN,China
5598,CHN,2003,3.43403647935424,CN,China
5599,CHN,2002,2.96482122774133,CN,China
5600,CHN,2001,2.77476219679994,CN,China
5601,CHN,2000,2.65040910152893,CN,China
5602,CHN,1999,2.51742076336975,CN,China
5603,CHN,1998,2.60583573214379,CN,China
5604,CHN,1997,2.54790366441071,CN,China
5605,CHN,1996,2.52187187384502,CN,China
5606,CHN,1995,2.5634787588548,CN,China
5607,CHN,1994,2.32218922921378,CN,China
5608,CHN,1993,2.24484207935915,CN,China
5609,CHN,1992,2.07574040533233,CN,China
5610,CHN,1991,2.00054328368585,CN,China
5611,CHN,1990,1.91454626338438,CN,China
5612,CHN,1989,,CN,China
5613,CHN,1988,,CN,China
5614,CHN,1987,,CN,China
5615,CHN,1986,,CN,China
5616,CHN,1985,,CN,China
5617,CHN,1984,,CN,China
5618,CHN,1983,,CN,China
5619,CHN,1982,,CN,China
5620,CHN,1981,,CN,China
5621,CHN,1980,,CN,China
5622,CHN,1979,,CN,China
5623,CHN,1978,,CN,China
5624,CHN,1977,,CN,China
5625,CHN,1976,,CN,China
5626,CHN,1975,,CN,China
5627,CHN,1974,,CN,China
5628,CHN,1973,,CN,China
5629,CHN,1972,,CN,China
5630,CHN,1971,,CN,China
5631,CHN,1970,,CN,China
5632,CHN,1969,,CN,China
5633,CHN,1968,,CN,China
5634,CHN,1967,,CN,China
5635,CHN,1966,,CN,China
5636,CHN,1965,,CN,China
5637,CHN,1964,,CN,China
5638,CHN,1963,,CN,China
5639,CHN,1962,,CN,China
5640,CHN,1961,,CN,China
5641,CHN,1960,,CN,China
