,year,Sea level
0,1960,-66.88072917
1,1961,-60.74739583
2,1962,-68.04739583
3,1963,-69.9140625
4,1964,-70.98072917
5,1965,-66.3140625
6,1966,-70.48072917
7,1967,-66.44739583
8,1968,-72.8140625
9,1969,-62.6140625
10,1970,-64.74739583
11,1971,-60.48072917
12,1972,-43.7140625
13,1973,-56.74739583
14,1974,-43.18072917
15,1975,-45.84739583
16,1976,-44.74739583
17,1977,-48.5140625
18,1978,-41.8140625
19,1979,-46.8140625
20,1980,-41.88072917
21,1981,-25.98072917
22,1982,-37.88072917
23,1983,-22.28072917
24,1984,-21.7140625
25,1985,-36.98072917
26,1986,-35.18072917
27,1987,-33.24739583
28,1988,-28.84739583
29,1989,-25.14739583
30,1990,-22.84739583
31,1991,-22.8140625
32,1992,-20.24739583
33,1993,-22.78072917
34,1994,-17.98072917
35,1995,-15.58072917
36,1996,-11.94739583
37,1997,-2.647395833
38,1998,-10.8140625
39,1999,-0.247395833
40,2000,2.952604167
41,2001,4.719270833
42,2002,2.152604167
43,2003,14.61927083
44,2004,13.65260417
45,2005,12.11927083
46,2006,9.519270833
47,2007,22.7859375
48,2008,30.45260417
49,2009,33.65260417
50,2010,33.87824005
51,2011,36.71847075
52,2012,47.17390325
53,2013,41.33798668
54,2014,53.85737212
55,2015,50.46170567
56,2016,54.34696367
57,2017,57.35599133
58,2018,53.08512198
59,2019,61.39371322
60,2020,66.70432506
