순위,영화명,개봉일,매출액,매출액 점유율,관객수,스크린수,상영횟수,대표국적,국적,배급사
1,범죄도시2,2022-05-18,"131,297,440,478",11.3%,"12,693,302","2,521","355,767",한국,한국,"주식회사 에이비오엔터테인먼트,플러스엠 엔터테인먼트"
2,탑건: 매버릭,2022-06-22,"87,855,360,975",7.6%,"8,177,446","1,975","249,415",미국,미국,롯데컬처웍스(주)롯데엔터테인먼트
3,아바타: 물의 길,2022-12-14,"90,296,839,202",7.8%,"7,313,149","2,809","152,626",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
4,한산: 용의 출현,2022-07-27,"73,700,628,377",6.4%,"7,264,934","2,223","217,713",한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
5,공조2: 인터내셔날,2022-09-07,"70,916,352,586",6.1%,"6,982,840","2,389","275,814",한국,한국,(주)씨제이이엔엠
6,닥터 스트레인지: 대혼돈의 멀티버스,2022-05-04,"62,648,728,870",5.4%,"5,884,587","2,691","211,097",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
7,헌트,2022-08-10,"44,600,858,153",3.8%,"4,352,390","1,625","170,963",한국,한국,플러스엠 엔터테인먼트
8,올빼미,2022-11-23,"31,769,067,550",2.7%,"3,222,767","1,541","142,130",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
9,쥬라기 월드: 도미니언,2022-06-01,"29,237,071,310",2.5%,"2,837,410","2,218","86,427",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
10,마녀(魔女) Part2. The Other One,2022-06-15,"28,922,488,670",2.5%,"2,806,501","1,796","94,940",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
11,토르: 러브 앤 썬더,2022-07-06,"29,505,081,721",2.5%,"2,716,306","2,143","107,527",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
12,미니언즈2,2022-07-20,"21,999,556,172",1.9%,"2,269,024","1,394","78,960",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
