datetime,종가,시가,고가,저가,거래량,변동 %
2005-01-03,115.65,116.1,116.45,115.5,122680,
2005-01-04,115.45,115.3,116.4,115,169458,-0.17%
2005-01-05,114.9,113.9,115.3,113.55,176376,-0.48%
2005-01-06,113.85,114.4,115.6,113.55,215143,-0.91%
2005-01-07,112.8,113.95,114.3,112.45,198190,-0.92%
2005-01-10,113.7,113.2,113.75,112.4,145996,0.80%
2005-01-11,115.25,113.5,115.25,112.9,179433,1.36%
2005-01-12,114.3,115.25,115.5,114.15,196451,-0.82%
2005-01-13,115.25,114.35,115.55,114,205386,0.83%
2005-01-14,118.3,114.35,118.4,114.15,219557,2.65%
2005-01-17,120.3,118.9,120.8,118.85,142206,1.69%
2005-01-18,119.8,120.3,120.95,119.8,147412,-0.42%
2005-01-19,119.5,120.3,120.9,119,182974,-0.25%
2005-01-20,118.7,118.5,119.1,118.2,150558,-0.67%
2005-01-21,120.15,118.6,120.15,118,186446,1.22%
2005-01-24,119.95,119.7,121.2,118.65,216668,-0.17%
2005-01-25,119.15,119.3,119.55,118.6,178578,-0.67%
2005-01-26,121.2,119.55,121.4,119.4,194706,1.72%
2005-01-27,120.45,121.25,121.45,120.05,154658,-0.62%
2005-01-28,119.85,120.65,120.75,119.3,173630,-0.50%
2005-01-31,121.2,120.2,121.75,120.15,139134,1.13%
2005-02-01,120.25,121.1,121.3,120.05,155522,-0.78%
2005-02-02,120.15,120.8,120.8,119.65,175200,-0.08%
2005-02-03,120.55,120.05,121.15,119.95,133250,0.33%
2005-02-04,121.2,120.55,122,120.45,157320,0.54%
2005-02-07,122.95,122.2,123.55,122.2,155259,1.44%
2005-02-11,122.55,122.4,123.05,121.3,150056,-0.33%
2005-02-14,124.6,123.5,125.65,123.4,155483,1.67%
2005-02-15,125.25,124.9,125.5,124.45,140568,0.52%
2005-02-16,126.1,125.6,126.75,124.8,178176,0.68%
2005-02-17,125.6,126,126.2,125.4,105200,-0.40%
2005-02-18,127.35,125.4,127.55,125.05,143107,1.39%
2005-02-21,127.6,128.25,128.4,127,122781,0.20%
2005-02-22,126.3,127.6,127.85,126.05,155512,-1.02%
2005-02-23,125.45,125.25,125.8,124.95,127412,-0.67%
2005-02-24,127.75,125.8,128.15,125.75,154998,1.83%
2005-02-25,128.9,128.5,129.55,128.2,168614,0.90%
2005-02-28,130,129.7,130.55,129.05,158423,0.85%
2005-03-02,130.05,130.05,130.9,129.2,162252,0.04%
2005-03-03,130.8,130,131,129.3,190534,0.58%
2005-03-04,130.55,130.8,131,129.9,149999,-0.19%
2005-03-07,129.75,131.25,132,128.75,238255,-0.61%
2005-03-08,128.9,130.15,130.35,128.85,182777,-0.66%
2005-03-09,130.65,128.5,130.65,128.1,216583,1.36%
2005-03-10,129.7,130.25,130.6,129.25,187870,-0.73%
2005-03-11,131.9,130.5,132.55,130.05,163354,1.70%
2005-03-14,131.7,131.45,132.05,131.2,121302,-0.15%
2005-03-15,128.25,132.1,132.35,127.9,255636,-2.62%
