DAYS,KOSPI_VOLUME,KOSPI,GOLD,NASDAP,OIL,US,USD,VIX,DAILY_PRICE_RANGE,DAILY_HIGH_LOW_RANGE
2005-01-03,101240000,0.1,-1.98,-1.09,-3.06,-0.05,0.22,5.94,-0.29,0.91
2005-01-04,119970000,-0.51,-0.12,-1.98,4.25,-0.42,0.1,-0.71,-0.23,1.3
2005-01-05,142310000,-0.1,-0.44,-0.51,-1.18,0.0,0.76,0.79,1.24,1.48
2005-01-06,147880000,-1.49,-1.33,-0.4,5.0,0.06,1.16,-3.62,-0.94,2.03
2005-01-07,117390000,-0.2,-0.5,0.47,-0.29,-0.09,-0.47,-0.66,-0.9,1.76
2005-01-10,98120000,0.5,0.05,0.01,-0.22,0.01,0.0,-1.93,0.26,1.29
2005-01-11,133199999.99999999,1.23,0.64,-0.74,0.77,0.17,-0.76,-0.3,1.33,1.93
2005-01-12,124800000,-0.5,0.99,0.8,1.51,0.05,-0.29,-4.78,-0.62,1.15
2005-01-13,106380000,0.81,-0.35,-1.32,3.6,0.32,-0.58,2.23,0.75,1.39
2005-01-14,151410000,2.44,-0.42,1.03,0.71,-0.15,0.68,-3.19,3.59,3.91
2005-01-18,172120000,-0.34,0.05,0.79,0.0,0.07,-0.06,0.32,-0.41,0.93
2005-01-19,177450000,-0.5,-0.05,-1.77,-1.72,0.01,-0.42,5.69,-0.95,1.74
2005-01-20,165450000,-0.74,-0.17,-2.01,-1.35,0.14,0.1,4.93,-0.03,1.02
2005-01-21,153510000,1.17,1.02,-0.72,3.45,0.2,0.58,3.83,1.26,1.79
2005-01-24,215320000,0.36,0.05,-1.53,0.58,0.05,-0.58,2.02,0.64,2.32
2005-01-25,190170000,-0.77,-1.17,0.67,1.7,-0.36,-0.1,-4.03,-0.01,0.9
2005-01-26,194210000,1.35,1.14,1.24,-1.73,-0.06,0.02,-4.41,1.15,1.79
2005-01-27,184680000,-0.29,-0.14,-0.1,0.12,-0.1,-0.31,-1.49,-0.49,1.39
2005-01-28,156890000,-0.42,0.42,-0.54,-3.4,0.43,-0.39,0.0,-0.49,1.27
2005-01-31,141840000,1.18,-0.93,1.35,2.16,0.02,0.2,-3.17,1.61,1.76
