"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 12- 29","12.45","12.55","13.19","12.36","","-0.16%"
"2023- 12- 28","12.47","12.44","12.65","12.38","","0.32%"
"2023- 12- 27","12.43","13.02","13.04","12.37","","-4.31%"
"2023- 12- 26","12.99","13.77","13.80","12.96","","-0.31%"
"2023- 12- 25","13.03","13.03","13.03","13.03","","0.00%"
"2023- 12- 22","13.03","13.72","13.96","13.00","","-4.54%"
"2023- 12- 21","13.65","13.40","14.49","13.34","","-0.15%"
"2023- 12- 20","13.67","12.63","13.93","12.29","","9.10%"
"2023- 12- 19","12.53","12.60","12.60","12.33","","-0.24%"
"2023- 12- 18","12.56","12.62","12.64","12.40","","2.28%"
"2023- 12- 15","12.28","12.12","12.54","12.01","","-1.60%"
"2023- 12- 14","12.48","11.96","12.74","11.84","","2.38%"
"2023- 12- 13","12.19","12.20","12.46","11.82","","0.99%"
"2023- 12- 12","12.07","12.69","12.74","11.81","","-4.43%"
"2023- 12- 11","12.63","13.05","13.14","12.61","","2.27%"
"2023- 12- 08","12.35","13.14","13.24","12.35","","-5.44%"
"2023- 12- 07","13.06","13.17","13.28","12.95","","0.69%"
"2023- 12- 06","12.97","12.78","13.03","12.64","","0.93%"
"2023- 12- 05","12.85","13.26","13.76","12.81","","-1.76%"
"2023- 12- 04","13.08","13.28","13.70","12.98","","3.56%"
"2023- 12- 01","12.63","12.94","12.96","12.48","","-2.24%"
"2023- 11- 30","12.92","13.07","13.39","12.82","","-0.46%"
"2023- 11- 29","12.98","12.71","13.10","12.48","","2.29%"
"2023- 11- 28","12.69","12.78","14.30","12.56","","0.00%"
"2023- 11- 27","12.69","13.14","13.28","12.64","","1.85%"
"2023- 11- 24","12.46","13.03","13.17","12.45","","-2.66%"
"2023- 11- 23","12.80","12.84","12.87","12.75","","-0.39%"
"2023- 11- 22","12.85","13.08","13.25","12.82","","-3.75%"
"2023- 11- 21","13.35","13.45","14.31","13.13","","-0.45%"
"2023- 11- 20","13.41","14.26","14.31","13.39","","-2.83%"
"2023- 11- 17","13.80","14.18","14.19","13.67","","-3.63%"
"2023- 11- 16","14.32","14.12","14.42","13.68","","0.99%"
"2023- 11- 15","14.18","14.21","14.35","13.97","","0.14%"
"2023- 11- 14","14.16","14.83","14.86","13.91","","-4.07%"
"2023- 11- 13","14.76","15.16","15.19","14.58","","4.16%"
"2023- 11- 10","14.17","15.09","15.45","14.16","","-7.33%"
"2023- 11- 09","15.29","14.61","15.57","14.13","","5.81%"
"2023- 11- 08","14.45","14.91","15.09","14.30","","-2.43%"
"2023- 11- 07","14.81","15.10","15.17","14.71","","-0.54%"
"2023- 11- 06","14.89","15.39","15.58","14.84","","-0.13%"
"2023- 11- 03","14.91","15.70","15.83","14.91","","-4.79%"
"2023- 11- 02","15.66","16.59","16.62","15.58","","-7.17%"
"2023- 11- 01","16.87","18.02","18.42","16.63","","-7.00%"
"2023- 10- 31","18.14","19.86","19.86","17.97","","-8.15%"
