week,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,Open,High,Low,Close,Volume,Close_change
2019-01-06,"Perry, Iowa",Alabama vs Michigan,New Year's Day,Adan Canto,Powerball,Nick Saban retiring,Ohio State football,Cowboys,Penn State football,Rickey Smiley,Detroit Lions,NFL playoff picture,Pete Carroll,Ecuador,Christian Oliver,Gypsy Rose release,Michigan,Glynis Johns,Japan earthquake,OG Anunoby,Colts,Jo Koy,Tyreek Hill,Clemson football,Texans,6757.52978515625,6991.3701171875,6741.39990234375,6971.47998046875,11629710000,232.6201171875
2019-01-13,New Year's Day,Ohio State football,Dallas Cowboys,Jason Kelce retire,"Perry, Iowa",Alabama vs Michigan,Powerball,Adan Canto,Kansas City Chiefs,Nick Saban retiring,NFL Games Today,Penn State football,Ecuador,Rickey Smiley,NFL playoff picture,Pete Carroll,Peacock,Michigan,Christian Oliver,Jerry Krause,Colts,True Detective Season 4,OG Anunoby,Coachella 2024 lineup,Jo Koy,6908.02978515625,7185.3798828125,6887.47998046875,7157.22998046875,10799800000,185.75
2019-01-20,Ohio State football,Dallas Cowboys,Alabama vs Michigan,New Year's Day,Nick Saban retiring,Adan Canto,Kansas City Chiefs,Powerball,Jason Kelce retire,"Perry, Iowa",NFL Games Today,Rickey Smiley,Pete Carroll,Ecuador,Wizards of Waverly Place,Penn State football,NFL playoff picture,Jo Koy,OG Anunoby,Christian Oliver,Japan earthquake,Coachella 2024 lineup,Gypsy Rose release,True Detective Season 4,Glynis Johns,7109.56982421875,7174.56005859375,6953.22998046875,7164.85986328125,9551410000,7.6298828125
2019-01-27,Ohio State football,Powerball,Vince McMahon,New Year's Day,Oscar nominations 2024,Dallas Cowboys,Jim Harbaugh,Nick Saban retiring,Adam Harrison,Jason Kelce retire,"Perry, Iowa",Joel Embiid,Alabama vs Michigan,NFL Games Today,Kansas City Chiefs,Adan Canto,Pete Carroll,Rickey Smiley,Lipid,Doc Rivers,NFL playoff picture,Ecuador,Dexter King,Penn State football,Peacock,7075.009765625,7303.1201171875,7011.47021484375,7263.8701171875,12470860000,99.01025390625
2019-02-03,Ohio State football,Oscar nominations 2024,Jason Kelce retire,Nick Saban retiring,Powerball,Dallas Cowboys,"Perry, Iowa",NFL Games Today,Kansas City Chiefs,Adan Canto,Jim Harbaugh,Alabama vs Michigan,Vince McMahon,Super Bowl 2024,Adam Harrison,New Year's Day,NFL playoff picture,Super Bowl,Doc Rivers,Penn State football,Ecuador,Lipid,Pete Carroll,Rickey Smiley,Dexter King,7266.27978515625,7410.77001953125,7225.14013671875,7298.2001953125,10983610000,34.330078125
2019-02-10,Super Bowl 2024,Ohio State football,NFL Games Today,Adan Canto,Alabama vs Michigan,Kansas City Chiefs,New Year's Day,Jason Kelce retire,Dallas Cowboys,"Perry, Iowa",Nick Saban retiring,Vince McMahon,Powerball,Oscar nominations 2024,Adam Harrison,Jim Harbaugh,NFL playoff picture,Rickey Smiley,Penn State football,Super Bowl,Doc Rivers,Ecuador,Pete Carroll,Dexter King,Lipid,7327.3701171875,7477.27978515625,7290.02978515625,7472.41015625,10533600000,174.2099609375
2019-02-17,Powerball,New Year's Day,Alabama vs Michigan,Ohio State football,Oscar nominations 2024,Jim Harbaugh,NFL Games Today,Jason Kelce retire,Adan Canto,"Perry, Iowa",Super Bowl 2024,Kansas City Chiefs,Adam Harrison,Vince McMahon,Nick Saban retiring,Dallas Cowboys,NFL playoff picture,Doc Rivers,Penn State football,Lipid,Rickey Smiley,Super Bowl,Pete Carroll,Dexter King,Ecuador,7450.75,7527.5400390625,7430.89013671875,7527.5400390625,8900050000,55.1298828125
2019-02-24,"Perry, Iowa",Oscar nominations 2024,Powerball,Jim Harbaugh,Super Bowl 2024,NFL Games Today,Dallas Cowboys,New Year's Day,Kansas City Chiefs,Vince McMahon,Jason Kelce retire,Nick Saban retiring,Alabama vs Michigan,Ohio State football,Adam Harrison,Adan Canto,Dexter King,Doc Rivers,Ecuador,Rickey Smiley,Super Bowl,Penn State football,Pete Carroll,NFL playoff picture,Lipid,7585.2998046875,7603.0400390625,7485.39013671875,7595.35009765625,12303670000,67.81005859375
2019-03-03,Oscar nominations 2024,New Year's Day,Nick Saban retiring,Vince McMahon,Super Bowl 2024,Kansas City Chiefs,Adam Harrison,Alabama vs Michigan,Adan Canto,Jim Harbaugh,"Perry, Iowa",Jason Kelce retire,Ohio State football,Dallas Cowboys,NFL Games Today,Powerball,Ecuador,NFL playoff picture,Pete Carroll,Dexter King,Rickey Smiley,Lipid,Doc Rivers,Super Bowl,Penn State football,7636.6201171875,7643.66015625,7332.919921875,7408.14013671875,11728950000,-187.2099609375
2019-03-10,Kansas City Chiefs,Jason Kelce retire,Oscar nominations 2024,Vince McMahon,Ohio State football,Adan Canto,Alabama vs Michigan,Dallas Cowboys,New Year's Day,NFL Games Today,Jim Harbaugh,Adam Harrison,"Perry, Iowa",Powerball,Nick Saban retiring,Super Bowl 2024,NFL playoff picture,Doc Rivers,Rickey Smiley,Ecuador,Penn State football,Dexter King,Pete Carroll,Super Bowl,Lipid,7442.56005859375,7714.9599609375,7442.39990234375,7688.52978515625,12450100000,280.3896484375
