week,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,Open,High,Low,Close,Volume,Close_change
2019-01-06,"Perry, Iowa",Alabama vs Michigan,New Year's Day,Adan Canto,Powerball,Nick Saban retiring,Ohio State football,Cowboys,Penn State football,Rickey Smiley,Detroit Lions,NFL playoff picture,Pete Carroll,Ecuador,Christian Oliver,Gypsy Rose release,Michigan,Glynis Johns,Japan earthquake,OG Anunoby,Colts,Jo Koy,Tyreek Hill,Clemson football,Texans,2535.610107421875,2597.820068359375,2524.56005859375,2596.260009765625,19510680000,64.320068359375
2019-01-13,New Year's Day,Ohio State football,Dallas Cowboys,Jason Kelce retire,"Perry, Iowa",Alabama vs Michigan,Powerball,Adan Canto,Kansas City Chiefs,Nick Saban retiring,NFL Games Today,Penn State football,Ecuador,Rickey Smiley,NFL playoff picture,Pete Carroll,Peacock,Michigan,Christian Oliver,Jerry Krause,Colts,True Detective Season 4,OG Anunoby,Coachella 2024 lineup,Jo Koy,2580.31005859375,2675.469970703125,2570.409912109375,2670.7099609375,18984150000,74.449951171875
2019-01-20,Ohio State football,Dallas Cowboys,Alabama vs Michigan,New Year's Day,Nick Saban retiring,Adan Canto,Kansas City Chiefs,Powerball,Jason Kelce retire,"Perry, Iowa",NFL Games Today,Rickey Smiley,Pete Carroll,Ecuador,Wizards of Waverly Place,Penn State football,NFL playoff picture,Jo Koy,OG Anunoby,Christian Oliver,Japan earthquake,Coachella 2024 lineup,Gypsy Rose release,True Detective Season 4,Glynis Johns,2657.8798828125,2672.3798828125,2612.860107421875,2664.760009765625,14552950000,-5.949951171875
2019-01-27,Ohio State football,Powerball,Vince McMahon,New Year's Day,Oscar nominations 2024,Dallas Cowboys,Jim Harbaugh,Nick Saban retiring,Adam Harrison,Jason Kelce retire,"Perry, Iowa",Joel Embiid,Alabama vs Michigan,NFL Games Today,Kansas City Chiefs,Adan Canto,Pete Carroll,Rickey Smiley,Lipid,Doc Rivers,NFL playoff picture,Ecuador,Dexter King,Penn State football,Peacock,2644.969970703125,2716.659912109375,2624.06005859375,2706.530029296875,19768450000,41.77001953125
2019-02-03,Ohio State football,Oscar nominations 2024,Jason Kelce retire,Nick Saban retiring,Powerball,Dallas Cowboys,"Perry, Iowa",NFL Games Today,Kansas City Chiefs,Adan Canto,Jim Harbaugh,Alabama vs Michigan,Vince McMahon,Super Bowl 2024,Adam Harrison,New Year's Day,NFL playoff picture,Super Bowl,Doc Rivers,Penn State football,Ecuador,Lipid,Pete Carroll,Rickey Smiley,Dexter King,2706.489990234375,2738.97998046875,2681.830078125,2707.8798828125,18217210000,1.349853515625
2019-02-10,Super Bowl 2024,Ohio State football,NFL Games Today,Adan Canto,Alabama vs Michigan,Kansas City Chiefs,New Year's Day,Jason Kelce retire,Dallas Cowboys,"Perry, Iowa",Nick Saban retiring,Vince McMahon,Powerball,Oscar nominations 2024,Adam Harrison,Jim Harbaugh,NFL playoff picture,Rickey Smiley,Penn State football,Super Bowl,Doc Rivers,Ecuador,Pete Carroll,Dexter King,Lipid,2712.39990234375,2775.659912109375,2703.7900390625,2775.60009765625,18417330000,67.72021484375
2019-02-17,Powerball,New Year's Day,Alabama vs Michigan,Ohio State football,Oscar nominations 2024,Jim Harbaugh,NFL Games Today,Jason Kelce retire,Adan Canto,"Perry, Iowa",Super Bowl 2024,Kansas City Chiefs,Adam Harrison,Vince McMahon,Nick Saban retiring,Dallas Cowboys,NFL playoff picture,Doc Rivers,Penn State football,Lipid,Rickey Smiley,Super Bowl,Pete Carroll,Dexter King,Ecuador,2769.280029296875,2794.199951171875,2764.550048828125,2792.669921875,14467710000,17.06982421875
2019-02-24,"Perry, Iowa",Oscar nominations 2024,Powerball,Jim Harbaugh,Super Bowl 2024,NFL Games Today,Dallas Cowboys,New Year's Day,Kansas City Chiefs,Vince McMahon,Jason Kelce retire,Nick Saban retiring,Alabama vs Michigan,Ohio State football,Adam Harrison,Adan Canto,Dexter King,Doc Rivers,Ecuador,Rickey Smiley,Super Bowl,Penn State football,Pete Carroll,NFL playoff picture,Lipid,2804.35009765625,2813.489990234375,2775.1298828125,2803.68994140625,19748980000,11.02001953125
2019-03-03,Oscar nominations 2024,New Year's Day,Nick Saban retiring,Vince McMahon,Super Bowl 2024,Kansas City Chiefs,Adam Harrison,Alabama vs Michigan,Adan Canto,Jim Harbaugh,"Perry, Iowa",Jason Kelce retire,Ohio State football,Dallas Cowboys,NFL Games Today,Powerball,Ecuador,NFL playoff picture,Pete Carroll,Dexter King,Rickey Smiley,Lipid,Doc Rivers,Super Bowl,Penn State football,2814.3701171875,2816.8798828125,2722.27001953125,2743.070068359375,18737740000,-60.619873046875
2019-03-10,Kansas City Chiefs,Jason Kelce retire,Oscar nominations 2024,Vince McMahon,Ohio State football,Adan Canto,Alabama vs Michigan,Dallas Cowboys,New Year's Day,NFL Games Today,Jim Harbaugh,Adam Harrison,"Perry, Iowa",Powerball,Nick Saban retiring,Super Bowl 2024,NFL playoff picture,Doc Rivers,Rickey Smiley,Ecuador,Penn State football,Dexter King,Pete Carroll,Super Bowl,Lipid,2747.610107421875,2830.72998046875,2747.610107421875,2822.47998046875,20454890000,79.409912109375
2019-03-17,Adam Harrison,Powerball,Ohio State football,New Year's Day,Super Bowl 2024,Jason Kelce retire,Dallas Cowboys,Vince McMahon,Alabama vs Michigan,NFL Games Today,Jim Harbaugh,"Perry, Iowa",Nick Saban retiring,Adan Canto,Oscar nominations 2024,Kansas City Chiefs,NFL playoff picture,Dexter King,Rickey Smiley,Ecuador,Lipid,Penn State football,Super Bowl,Doc Rivers,Pete Carroll,2822.610107421875,2860.31005859375,2800.469970703125,2800.7099609375,18917020000,-21.77001953125
2019-03-24,"Perry, Iowa",Jim Harbaugh,Kansas City Chiefs,Jason Kelce retire,Nick Saban retiring,Ohio State football,Alabama vs Michigan,Dallas Cowboys,Adan Canto,Oscar nominations 2024,Powerball,Super Bowl 2024,Vince McMahon,New Year's Day,NFL Games Today,Adam Harrison,Lipid,Ecuador,Rickey Smiley,Super Bowl,Pete Carroll,NFL playoff picture,Doc Rivers,Dexter King,Penn State football,2796.010009765625,2836.030029296875,2785.02001953125,2834.39990234375,17055060000,33.68994140625
