Category: All categories
TOP
weather,100
google,99
facebook,76
youtube,56
news,54
nfl,53
amazon,48
craigslist,36
walmart,30
yahoo,23
trump,23
instagram,20
calculator,20
r kelly,19
translate,19
netflix,19
nba,18
gmail,18
google classroom,15
flights,15
target,14
ebay,12
espn,11
government shutdown,11
home depot,11

RISING
lauren sanchez,"+2,650%"
golden globes,"+1,000%"
clemson vs alabama,+650%
rami malek,+500%
trevor lawrence,+400%
google classroom,+300%
kahoot,+300%
iready,+250%
google slides,+200%
google docs,+190%
abcya,+190%
prodigy,+170%
r kelly,+160%
google drive,+130%
nfl playoff schedule,+120%
eagles,+70%
government shutdown,+70%
google translate,+60%
google,+60%
dallas cowboys,+50%
trump,+50%
translate,+50%
nfl schedule,+50%
calculator,+40%

