,date,NASDAQ,S&P 500,ETF,Dow Jones,Gold Price,Oil Price,BitCoin
0,2019-01-06,31,21,22,22,26,9,11
1,2019-01-13,27,20,21,17,22,7,10
2,2019-01-20,26,16,16,15,20,7,9
3,2019-01-27,32,17,20,17,25,7,9
4,2019-02-03,28,18,21,15,23,7,10
5,2019-02-10,26,16,20,15,24,6,9
6,2019-02-17,23,14,19,13,23,6,11
7,2019-02-24,26,17,19,14,27,6,10
8,2019-03-03,24,16,23,15,23,6,9
9,2019-03-10,26,16,22,13,22,6,8
10,2019-03-17,28,16,20,14,23,6,9
11,2019-03-24,27,15,18,14,24,6,8
12,2019-03-31,28,18,21,14,22,6,18
13,2019-04-07,25,15,20,14,23,6,14
14,2019-04-14,24,13,18,12,21,6,12
15,2019-04-21,27,16,19,12,18,7,12
16,2019-04-28,31,18,20,13,20,6,11
17,2019-05-05,28,20,19,18,21,6,15
18,2019-05-12,33,21,19,21,22,6,28
19,2019-05-19,25,15,17,15,20,6,19
20,2019-05-26,22,15,16,14,20,6,21
21,2019-06-02,28,18,18,17,26,7,17
22,2019-06-09,25,17,17,14,24,7,14
23,2019-06-16,28,19,20,15,35,7,26
24,2019-06-23,26,15,19,15,37,7,40
25,2019-06-30,23,15,17,13,30,6,24
26,2019-07-07,26,19,20,16,29,6,23
27,2019-07-14,26,16,22,14,30,7,23
28,2019-07-21,27,15,18,13,29,6,17
29,2019-07-28,28,19,20,17,33,6,17
30,2019-08-04,40,26,23,24,48,7,19
31,2019-08-11,37,24,25,27,45,6,16
32,2019-08-18,30,22,20,23,37,6,14
33,2019-08-25,26,19,18,22,39,5,12
34,2019-09-01,22,15,18,16,39,6,14
35,2019-09-08,30,16,20,16,33,6,12
36,2019-09-15,26,16,24,15,33,16,11
37,2019-09-22,26,16,18,14,29,6,17
38,2019-09-29,25,17,19,17,32,6,12
39,2019-10-06,22,15,17,16,29,6,12
40,2019-10-13,22,14,18,15,28,6,10
41,2019-10-20,25,17,18,12,28,6,14
42,2019-10-27,25,18,19,14,26,5,13
43,2019-11-03,25,19,22,14,26,6,10
44,2019-11-10,23,16,19,13,25,5,10
45,2019-11-17,24,16,20,13,25,6,12
46,2019-11-24,19,11,15,10,23,5,12
47,2019-12-01,22,16,18,15,23,5,10
48,2019-12-08,22,15,20,13,24,5,10
49,2019-12-15,24,20,23,14,25,5,11
50,2019-12-22,22,13,19,11,28,4,10
51,2019-12-29,22,18,26,13,39,7,11
52,2020-01-05,30,21,28,16,49,9,13
53,2020-01-12,33,21,29,16,30,6,12
