자치구,총계,2013년 이전 설치된 CCTV,2013년,2014년,2015년,2016년,2017년,2018년,2019년,2020년,2021년,2022년,최근 증가율
종로구,1980,36,540,107,161,131,158,152,69,250,85,291,0.4623338257016248
중 구,2584,130,87,77,236,240,372,386,155,361,403,137,0.5353535353535354
용산구,2847,44,50,68,83,295,491,115,322,623,422,334,0.9393732970027248
성동구,4047,58,99,110,366,279,945,459,647,485,367,232,0.3658454269321634
광진구,3480,507,82,84,64,21,465,443,709,172,662,271,0.4652631578947368
동대문구,2759,1,4,12,107,802,711,201,218,223,221,259,0.3419260700389105
중랑구,4193,224,331,104,145,153,170,215,1074,976,507,294,0.7355132450331126
성북구,4842,137,170,229,322,594,811,867,714,253,407,338,0.2596253902185224
강북구,3321,0,21,16,68,210,4,375,963,569,298,797,1.0042245021122511
도봉구,2247,103,2,79,72,103,117,200,202,183,600,586,1.5592255125284737
노원구,2617,77,153,75,510,329,172,216,326,387,220,152,0.4085037674919268
은평구,4653,17,44,332,329,555,403,635,1057,288,471,522,0.3798932384341637
서대문구,3445,312,144,127,77,254,524,389,344,587,207,480,0.5868263473053892
마포구,2628,21,40,109,170,458,376,368,494,298,177,117,0.2907662082514735
양천구,3851,197,139,128,239,422,563,830,311,337,338,347,0.3612583951926476
강서구,3265,67,59,202,193,168,506,259,458,359,439,555,0.7076359832635983
구로구,4693,37,361,193,269,353,563,545,794,651,684,243,0.5065810593900482
금천구,2636,0,0,43,361,133,196,539,367,513,207,277,0.6082977425259305
영등포구,4553,109,81,295,360,285,422,803,153,1357,329,359,0.8153907496012759
동작구,2671,66,25,502,127,256,271,300,307,432,30,355,0.4406688241639698
관악구,5398,362,244,302,537,607,676,662,890,404,550,164,0.26121495327102806
서초구,4995,74,86,70,559,518,1054,426,344,422,566,876,0.5953369530501437
강남구,7243,59,62,573,826,1295,989,744,790,923,514,468,0.35687523417010114
송파구,3203,84,78,88,221,163,256,516,1081,224,139,353,0.28789706473663046
강동구,3190,82,195,56,174,226,351,379,362,635,301,429,0.7479452054794521
