자치구,세대수,인구수,한국인,외국인,세대당인구,고령자,고령자비율,외국인비율
종로구,72524,152211,141379,10832,1.95,27958,0.18367923474650322,0.07116437051198665
중구,63139,130785,120437,10348,1.91,25055,0.19157395725809534,0.07912222349657835
용산구,109805,233284,218650,14634,1.99,39037,0.16733680835376621,0.0627304058572384
성동구,133305,288234,281000,7234,2.11,47720,0.16555992700375388,0.025097663703796222
광진구,169291,351252,337416,13836,1.99,54071,0.1539379135207771,0.039390523043285164
동대문구,169873,353601,336644,16957,1.98,64468,0.18231848891830058,0.047955181122225334
중랑구,187413,390140,385318,4822,2.06,74920,0.19203362895370893,0.01235966576100887
성북구,197082,441984,430397,11587,2.18,77475,0.17528915073848828,0.02621588111786852
강북구,144313,297702,293660,4042,2.03,66307,0.2227294408502462,0.013577335724986732
도봉구,138356,313989,311694,2295,2.25,66998,0.21337690173859594,0.007309173251292243
노원구,217540,508014,503734,4280,2.32,92040,0.1811761093198219,0.008424964666328093
은평구,213876,470602,466746,3856,2.18,89650,0.19050067785517275,0.008193760332510274
서대문구,145797,319554,306337,13217,2.1,55996,0.175231729222604,0.04136077157538319
마포구,180084,375585,364638,10947,2.02,55914,0.14887176005431527,0.029146531410998842
양천구,181187,444010,440881,3129,2.43,72393,0.16304362514357784,0.007047138577959956
강서구,273697,574638,569166,5472,2.08,97128,0.16902467292451945,0.009522516784479969
구로구,183655,418418,395315,23103,2.15,75890,0.18137365027317182,0.05521511980842125
금천구,119583,242818,229642,13176,1.92,42928,0.17679084746600335,0.05426286354388884
영등포구,188832,398085,375675,22410,1.99,64810,0.1628044261903865,0.05629450996646445
동작구,185773,390432,380596,9836,2.05,68231,0.1747577042865339,0.025192607163347265
관악구,283623,501226,486752,14474,1.72,82447,0.16449066887990646,0.02887719312246372
서초구,167749,408451,404325,4126,2.41,62347,0.15264254463815732,0.010101578891960113
강남구,232777,534103,529102,5001,2.27,81715,0.15299483432970795,0.009363362497495802
송파구,284853,664514,658801,5713,2.31,103573,0.15586278091958936,0.008597260554329932
강동구,202169,464037,460067,3970,2.28,78340,0.16882274473802736,0.00855535226716835
