기준일자,주요국가대륙명,국가명,연령,인원,전년동기,증감률
201501,대륙전체,연도,20세 이하,73637.0,0.0,0
201501,대륙전체,연도,21~30세,222736.0,0.0,0
201501,대륙전체,연도,31~40세,205802.0,0.0,0
201501,대륙전체,연도,41~50세,158431.0,0.0,0
201501,대륙전체,연도,51~60세,121311.0,0.0,0
201501,대륙전체,연도,61세이상,64745.0,0.0,0
201501,대륙전체,연도,승무원,70392.0,0.0,0
201501,대륙전체,연도,전체,917054.0,0.0,0
201501,아시아,연도대륙,20세 이하,61386.0,0.0,0
201501,아시아,연도대륙,21~30세,196453.0,0.0,0
201501,아시아,연도대륙,31~40세,177712.0,0.0,0
201501,아시아,연도대륙,41~50세,129904.0,0.0,0
201501,아시아,연도대륙,51~60세,93208.0,0.0,0
201501,아시아,연도대륙,61세이상,48525.0,0.0,0
201501,아시아,연도대륙,승무원,55963.0,0.0,0
201501,아시아,연도대륙,전체,763151.0,0.0,0
201501,아시아,중국,20세 이하,33274.0,0.0,0
201501,아시아,중국,21~30세,110359.0,0.0,0
201501,아시아,중국,31~40세,93560.0,0.0,0
201501,아시아,중국,41~50세,64455.0,0.0,0
201501,아시아,중국,51~60세,48142.0,0.0,0
201501,아시아,중국,61세이상,22635.0,0.0,0
201501,아시아,중국,승무원,21920.0,0.0,0
201501,아시아,중국,전체,394345.0,0.0,0
201501,아시아,일본,20세 이하,7601.0,0.0,0
201501,아시아,일본,21~30세,27635.0,0.0,0
201501,아시아,일본,31~40세,27706.0,0.0,0
201501,아시아,일본,41~50세,31991.0,0.0,0
201501,아시아,일본,51~60세,25350.0,0.0,0
201501,아시아,일본,61세이상,17568.0,0.0,0
201501,아시아,일본,승무원,1781.0,0.0,0
201501,아시아,일본,전체,139632.0,0.0,0
201501,아시아,대만,20세 이하,7402.0,0.0,0
201501,아시아,대만,21~30세,12597.0,0.0,0
201501,아시아,대만,31~40세,14009.0,0.0,0
201501,아시아,대만,41~50세,8819.0,0.0,0
201501,아시아,대만,51~60세,4256.0,0.0,0
201501,아시아,대만,61세이상,2179.0,0.0,0
201501,아시아,대만,승무원,536.0,0.0,0
201501,아시아,대만,전체,49798.0,0.0,0
201501,아시아,홍콩,20세 이하,2904.0,0.0,0
201501,아시아,홍콩,21~30세,12087.0,0.0,0
201501,아시아,홍콩,31~40세,8534.0,0.0,0
201501,아시아,홍콩,41~50세,5665.0,0.0,0
201501,아시아,홍콩,51~60세,4222.0,0.0,0
201501,아시아,홍콩,61세이상,1447.0,0.0,0
201501,아시아,홍콩,승무원,548.0,0.0,0
201501,아시아,홍콩,전체,35407.0,0.0,0
201501,아시아,마카오,20세 이하,102.0,0.0,0
201501,아시아,마카오,21~30세,1294.0,0.0,0
201501,아시아,마카오,31~40세,590.0,0.0,0
201501,아시아,마카오,41~50세,303.0,0.0,0
201501,아시아,마카오,51~60세,195.0,0.0,0
201501,아시아,마카오,61세이상,59.0,0.0,0
201501,아시아,마카오,승무원,28.0,0.0,0
201501,아시아,마카오,전체,2571.0,0.0,0
201501,아시아,필리핀,20세 이하,769.0,0.0,0
201501,아시아,필리핀,21~30세,3173.0,0.0,0
201501,아시아,필리핀,31~40세,4441.0,0.0,0
201501,아시아,필리핀,41~50세,2236.0,0.0,0
201501,아시아,필리핀,51~60세,1272.0,0.0,0
201501,아시아,필리핀,61세이상,435.0,0.0,0
201501,아시아,필리핀,승무원,12390.0,0.0,0
201501,아시아,필리핀,전체,24716.0,0.0,0
201501,아시아,인도네시아,20세 이하,1341.0,0.0,0
201501,아시아,인도네시아,21~30세,2854.0,0.0,0
201501,아시아,인도네시아,31~40세,2370.0,0.0,0
201501,아시아,인도네시아,41~50세,1653.0,0.0,0
201501,아시아,인도네시아,51~60세,739.0,0.0,0
201501,아시아,인도네시아,61세이상,364.0,0.0,0
201501,아시아,인도네시아,승무원,2799.0,0.0,0
201501,아시아,인도네시아,전체,12120.0,0.0,0
201501,아시아,태국,20세 이하,3732.0,0.0,0
201501,아시아,태국,21~30세,9544.0,0.0,0
201501,아시아,태국,31~40세,11282.0,0.0,0
201501,아시아,태국,41~50세,6144.0,0.0,0
201501,아시아,태국,51~60세,3915.0,0.0,0
201501,아시아,태국,61세이상,1829.0,0.0,0
201501,아시아,태국,승무원,4434.0,0.0,0
201501,아시아,태국,전체,40880.0,0.0,0
201501,아시아,베트남,20세 이하,329.0,0.0,0
201501,아시아,베트남,21~30세,2022.0,0.0,0
201501,아시아,베트남,31~40세,1491.0,0.0,0
201501,아시아,베트남,41~50세,777.0,0.0,0
201501,아시아,베트남,51~60세,544.0,0.0,0
201501,아시아,베트남,61세이상,160.0,0.0,0
201501,아시아,베트남,승무원,2572.0,0.0,0
201501,아시아,베트남,전체,7895.0,0.0,0
201501,아시아,인도,20세 이하,302.0,0.0,0
201501,아시아,인도,21~30세,1352.0,0.0,0
201501,아시아,인도,31~40세,1902.0,0.0,0
201501,아시아,인도,41~50세,957.0,0.0,0
201501,아시아,인도,51~60세,402.0,0.0,0
201501,아시아,인도,61세이상,200.0,0.0,0
201501,아시아,인도,승무원,2113.0,0.0,0
201501,아시아,인도,전체,7228.0,0.0,0
201501,아시아,말레이시아,20세 이하,1153.0,0.0,0
201501,아시아,말레이시아,21~30세,3938.0,0.0,0
201501,아시아,말레이시아,31~40세,2867.0,0.0,0
201501,아시아,말레이시아,41~50세,1618.0,0.0,0
201501,아시아,말레이시아,51~60세,1104.0,0.0,0
201501,아시아,말레이시아,61세이상,358.0,0.0,0
201501,아시아,말레이시아,승무원,1358.0,0.0,0
201501,아시아,말레이시아,전체,12396.0,0.0,0
201501,아시아,싱가포르,20세 이하,562.0,0.0,0
201501,아시아,싱가포르,21~30세,2334.0,0.0,0
201501,아시아,싱가포르,31~40세,1938.0,0.0,0
201501,아시아,싱가포르,41~50세,1499.0,0.0,0
201501,아시아,싱가포르,51~60세,1058.0,0.0,0
201501,아시아,싱가포르,61세이상,335.0,0.0,0
201501,아시아,싱가포르,승무원,1208.0,0.0,0
201501,아시아,싱가포르,전체,8934.0,0.0,0
201501,아시아,몽골,20세 이하,873.0,0.0,0
201501,아시아,몽골,21~30세,1327.0,0.0,0
201501,아시아,몽골,31~40세,1827.0,0.0,0
