기준년도,주요국가대륙명,인원
2015,교포,270193.0
2015,기타,539.0
2015,아메리카,974153.0
2015,아시아,10967739.0
2015,아프리카,44525.0
2015,오세아니아,168064.0
2015,유럽,806438.0
2016,교포,276538.0
2016,기타,689.0
2016,아메리카,1116157.0
2016,아시아,14657893.0
2016,아프리카,57326.0
2016,오세아니아,190547.0
2016,유럽,942673.0
2017,교포,268854.0
2017,기타,724.0
2017,아메리카,1117107.0
2017,아시아,10774143.0
2017,아프리카,49316.0
2017,오세아니아,189557.0
2017,유럽,936057.0
2018,교포,251073.0
2018,기타,795.0
2018,아메리카,1242792.0
2018,아시아,12601449.0
2018,아프리카,53719.0
2018,오세아니아,193431.0
2018,유럽,1003620.0
2019,교포,192502.0
2019,기타,612.0
2019,아메리카,1345658.0
2019,아시아,14590478.0
2019,아프리카,60259.0
2019,오세아니아,217991.0
2019,유럽,1095256.0
2020,교포,26391.0
2020,기타,141.0
2020,아메리카,271487.0
2020,아시아,1961360.0
2020,아프리카,14374.0
2020,오세아니아,30454.0
2020,유럽,214911.0
2021,교포,13292.0
2021,기타,57.0
2021,아메리카,241825.0
2021,아시아,546838.0
2021,아프리카,12087.0
2021,오세아니아,5574.0
2021,유럽,147330.0
2022,교포,27993.0
2022,기타,243.0
2022,아메리카,667772.0
2022,아시아,1984107.0
2022,아프리카,29732.0
2022,오세아니아,82083.0
2022,유럽,406087.0
2023,교포,34069.0
2023,기타,166.0
2023,아메리카,1154924.0
2023,아시아,6661763.0
2023,아프리카,48905.0
2023,오세아니아,191193.0
2023,유럽,789030.0
